sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
sample_11,SRX8222637_SRR11661736,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222637_SRR11661736_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222637_SRR11661736_2.fastq.gz,
sample_12,SRX8222638_SRR11661735,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222638_SRR11661735_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222638_SRR11661735_2.fastq.gz,
sample_13,SRX8222639_SRR11661734,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222639_SRR11661734_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222639_SRR11661734_2.fastq.gz,
sample_14,SRX8222640_SRR11661733,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222640_SRR11661733_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222640_SRR11661733_2.fastq.gz,
sample_15,SRX8222641_SRR11661732,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222641_SRR11661732_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222641_SRR11661732_2.fastq.gz,
sample_16,SRX8222642_SRR11661731,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222642_SRR11661731_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222642_SRR11661731_2.fastq.gz,
sample_17,SRX8222643_SRR11661730,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222643_SRR11661730_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222643_SRR11661730_2.fastq.gz,
sample_18,SRX8222644_SRR11661729,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222644_SRR11661729_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222644_SRR11661729_2.fastq.gz,
sample_19,SRX8222645_SRR11661728,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222645_SRR11661728_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222645_SRR11661728_2.fastq.gz,
sample_20,SRX8222646_SRR11661727,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222646_SRR11661727_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222646_SRR11661727_2.fastq.gz,
sample_21,SRX8222647_SRR11661726,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222647_SRR11661726_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222647_SRR11661726_2.fastq.gz,
sample_22,SRX8222648_SRR11661725,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222648_SRR11661725_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222648_SRR11661725_2.fastq.gz,
sample_23,SRX8222649_SRR11661724,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222649_SRR11661724_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222649_SRR11661724_2.fastq.gz,
sample_24,SRX8222650_SRR11661723,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222650_SRR11661723_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222650_SRR11661723_2.fastq.gz,
sample_25,SRX8222651_SRR11661722,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222651_SRR11661722_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222651_SRR11661722_2.fastq.gz,
sample_26,SRX8222652_SRR11661721,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222652_SRR11661721_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222652_SRR11661721_2.fastq.gz,
sample_27,SRX8222653_SRR11661720,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222653_SRR11661720_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222653_SRR11661720_2.fastq.gz,
sample_28,SRX8222654_SRR11661719,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222654_SRR11661719_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222654_SRR11661719_2.fastq.gz,
sample_29,SRX8222655_SRR11661718,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222655_SRR11661718_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222655_SRR11661718_2.fastq.gz,
sample_30,SRX8222656_SRR11661717,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222656_SRR11661717_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222656_SRR11661717_2.fastq.gz,
sample_31,SRX8222657_SRR11661716,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222657_SRR11661716_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222657_SRR11661716_2.fastq.gz,
sample_32,SRX8222658_SRR11661715,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222658_SRR11661715_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222658_SRR11661715_2.fastq.gz,
sample_33,SRX8222659_SRR11661714,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222659_SRR11661714_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222659_SRR11661714_2.fastq.gz,
sample_34,SRX8222660_SRR11661713,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222660_SRR11661713_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222660_SRR11661713_2.fastq.gz,
sample_35,SRX8222661_SRR11661711,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222661_SRR11661711_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222661_SRR11661711_2.fastq.gz,
sample_36,SRX8222662_SRR11661710,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222662_SRR11661710_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222662_SRR11661710_2.fastq.gz,
sample_37,SRX8222663_SRR11661709,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222663_SRR11661709_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222663_SRR11661709_2.fastq.gz,
sample_38,SRX8222664_SRR11661708,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222664_SRR11661708_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222664_SRR11661708_2.fastq.gz,
sample_39,SRX8222665_SRR11661707,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222665_SRR11661707_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222665_SRR11661707_2.fastq.gz,
