sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
sample16,SRX5286942_SRR8482175,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286942_SRR8482175_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286942_SRR8482175_2.fastq.gz,
sample17,SRX5286943_SRR8482174,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286943_SRR8482174_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286943_SRR8482174_2.fastq.gz,
sample18,SRX5286944_SRR8482152,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286944_SRR8482152_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286944_SRR8482152_2.fastq.gz,
sample19,SRX5286945_SRR8482172,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286945_SRR8482172_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286945_SRR8482172_2.fastq.gz,
sample20,SRX5286946_SRR8482171,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286946_SRR8482171_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286946_SRR8482171_2.fastq.gz,
sample21,SRX5286947_SRR8482170,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286947_SRR8482170_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286947_SRR8482170_2.fastq.gz,
sample22,SRX5286948_SRR8482169,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286948_SRR8482169_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286948_SRR8482169_2.fastq.gz,
sample23,SRX5286949_SRR8482168,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286949_SRR8482168_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286949_SRR8482168_2.fastq.gz,
sample24,SRX5286950_SRR8482167,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286950_SRR8482167_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286950_SRR8482167_2.fastq.gz,
sample25,SRX5286951_SRR8482166,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286951_SRR8482166_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286951_SRR8482166_2.fastq.gz,
sample26,SRX5286952_SRR8482165,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286952_SRR8482165_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286952_SRR8482165_2.fastq.gz,
sample27,SRX5286953_SRR8482164,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286953_SRR8482164_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286953_SRR8482164_2.fastq.gz,
sample28,SRX5286954_SRR8482163,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286954_SRR8482163_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286954_SRR8482163_2.fastq.gz,
