sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
86,SRR12512360,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002964_SRR12512360_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002964_SRR12512360_2.fastq.gz,
87,SRR12512359,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002965_SRR12512359_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002965_SRR12512359_2.fastq.gz,
88,SRR12512358,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002966_SRR12512358_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002966_SRR12512358_2.fastq.gz,
89,SRR12512357,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002967_SRR12512357_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002967_SRR12512357_2.fastq.gz,
90,SRR12512356,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002968_SRR12512356_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002968_SRR12512356_2.fastq.gz,
91,SRR12512355,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002969_SRR12512355_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002969_SRR12512355_2.fastq.gz,
92,SRR12512354,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002970_SRR12512354_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002970_SRR12512354_2.fastq.gz,
93,SRR12512353,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002971_SRR12512353_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002971_SRR12512353_2.fastq.gz,
94,SRR12512352,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002972_SRR12512352_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002972_SRR12512352_2.fastq.gz,
95,SRR12512351,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002973_SRR12512351_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002973_SRR12512351_2.fastq.gz,
